"Mutant.ID","Gene","Feature","Confidence.level","Gene.Name","c_R4.S.147.Hypoosmotic_75_v_R4.A.003.Control.TAP.Light_average","c_R3.S.062.Hypoosmotic_75_v_R3.A.002.Control.TAP.Light_average","c_R4.S.146.Hypoosmotic_25_v_R4.A.003.Control.TAP.Light_average","c_R3.S.060.Hypoosmotic_10_v_R3.A.002.Control.TAP.Light_average","c_R3.S.032.Low.N.0.7.mM_v_R3.A.002.Control.TAP.Light_average","c_R3.S.033.Low.P.0.01.mM_v_R3.A.002.Control.TAP.Light_average","c_R3.S.050.NaCl_50_v_R3.A.002.Control.TAP.Light_average","c_R3.S.006.Control.TAP.Dark_III_v_R3.A.017.Initial_average","c_R5.S.217.Control.TAP.Dark_II_v_R5.A.019.Initial_average","c_R3.S.004.Control.TAP.Dark_I_v_R3.A.017.Initial_average","c_R3.S.005.Control.TAP.Dark_II_v_R3.A.017.Initial_average","c_R3.S.001.Control.TAP.Light_I_v_R3.A.017.Initial_average","c_R3.S.003.Control.TAP.Light_III_v_R3.A.017.Initial_average","c_R3.S.063.Control.TAP.Light_v_R3.A.017.Initial_average","c_R3.S.003.Control.TAP.Light_III_v_R3.A.006.Control.TAP.Dark_average","c_R3.S.002.Control.TAP.Light_II_v_R3.A.006.Control.TAP.Dark_average","c_R3.S.063.Control.TAP.Light_v_R3.A.006.Control.TAP.Dark_average","c_R3.S.001.Control.TAP.Light_I_v_R3.A.006.Control.TAP.Dark_average","c_R3.S.001.Control.TAP.Light_I_v_R3.S.011.TAP.Light.CO2","c_R3.S.002.Control.TAP.Light_II_v_R3.S.011.TAP.Light.CO2","c_R5.S.233.TP.Air_I_v_R5.S.217.Control.TAP.Dark_II","c_R5.S.234.TP.Air_II_v_R5.S.217.Control.TAP.Dark_II","c_R5.S.235.TP.Air_III_v_R5.S.217.Control.TAP.Dark_II","c_R5.S.233.TP.Air_I_v_R5.A.012.TP.CO2_average","c_R3.S.008.TP.Air_II_v_R3.A.011.TP.CO2_average","c_R5.S.234.TP.Air_II_v_R5.A.012.TP.CO2_average","c_R3.S.072.TP.Air_v_R3.S.071.TP.CO2","c_R3.S.007.TP.Air_I_v_R3.A.011.TP.CO2_average","c_R5.S.235.TP.Air_III_v_R5.A.012.TP.CO2_average","c_R3.S.008.TP.Air_II_v_R3.A.002.Control.TAP.Light_average","c_R3.S.007.TP.Air_I_v_R3.A.002.Control.TAP.Light_average"
"LMJ.RY0402.153768","Cre01.g000250","CDS",3,"SNR1",-0.498,0.191,-0.292,0.888,0.026,-0.491,0.94,0.946,1.169,0.669,0.775,0.07,0.046,0.374,-0.755,-0.111,-0.427,-0.731,1.902,2.522,-2.293,-1.314,-1.262,-0.936,-0.144,0.043,-0.787,-0.783,0.096,-1.181,-1.821
"LMJ.RY0402.215015","Cre01.g000250","intron",3,"SNR1",-0.007,-0.454,-0.386,-0.671,0.016,-0.212,-0.5,1.878,1.451,1.217,1.592,0,0.132,-0.148,-1.455,-1.45,-1.735,-1.588,0.311,0.449,-5.874,-5.129,-4.007,-2.71,-0.568,-1.965,-1.753,-1.681,-0.842,-2.763,-3.876
"LMJ.RY0402.070496","Cre01.g000250","intron",4,"SNR1",0.184,0.165,-0.101,0.256,-0.133,0.07,-0.686,-0.523,1.364,0.108,0.014,0.096,0.31,0.184,0.418,0.249,0.292,0.205,2.27,2.315,-1.83,-1.195,-1.269,-1.36,1.012,-0.726,0.237,-0.34,-0.8,1.445,0.093
"LMJ.RY0402.146696","Cre01.g001300","CDS",3,"",-0.064,0.418,0.274,1.508,0.433,0.728,-0.065,-0.24,-0.274,-0.007,-0.471,-1.022,-0.862,-0.968,-0.635,0.261,-0.742,-0.795,-0.477,0.58,-1.328,-0.931,-0.808,-1.513,0.394,-1.116,0.356,-0.414,-0.992,0.843,0.035
"LMJ.RY0402.173930","Cre01.g001300","CDS",3,"",NA,NA,NA,NA,NA,NA,NA,-0.147,-0.862,-0.204,0.28,-0.858,-3.054,-0.911,-3.047,-2.678,-0.904,-0.85,NA,NA,NA,NA,NA,-6.191,NA,-2.514,NA,NA,-3.586,NA,NA
"LMJ.RY0402.215684","Cre01.g001300","intron",3,"",0.386,0.309,0.224,0.602,-0.199,-0.217,0.201,0.344,0.614,-0.544,0.187,-0.441,-1.093,-0.598,-1.137,-0.96,-0.642,-0.486,NA,NA,-2.024,-0.337,-0.982,-1.659,-0.293,0.028,-0.585,-0.482,-0.617,0.221,0.033
"LMJ.RY0402.074315","Cre01.g001300","intron",4,"",0.359,0.973,0.7,1.089,0.321,1.025,0.422,0.299,0.731,0.528,0.259,-0.602,-0.494,-0.3,-0.861,-0.47,-0.667,-0.969,0.981,1.481,-0.429,-0.13,-0.476,0.21,-0.051,0.509,0.03,-0.345,0.163,1.075,0.78
"LMJ.RY0402.051591","Cre01.g001800","intron",1,"FAP403",-0.228,0.372,0.196,0.578,-0.358,-0.611,-0.023,-0.633,-0.714,-1.464,-0.82,-0.136,0.444,0.454,1.374,0.592,1.385,0.795,-0.828,-1.031,1.396,1.833,1.483,1.02,0.073,1.458,0.294,-0.873,1.108,0.259,-0.686
"LMJ.RY0402.189784","Cre01.g001800","intron",1,"FAP403",-0.151,0.458,-0.17,0.648,-0.175,-0.308,0.442,0.365,-1.107,-0.097,0.208,0.062,0.407,0.611,0.236,0.027,0.44,-0.109,-0.174,-0.039,NA,NA,NA,0.467,0.428,0.522,0.062,0.303,0.864,-0.296,-0.421
"LMJ.RY0402.101494","Cre01.g001800","intron",3,"FAP403",-0.637,0.505,-0.552,-0.195,-0.114,0.123,0.227,-0.816,-0.238,0.461,-0.338,-0.078,-0.389,0.618,-0.256,-0.34,0.751,0.055,NA,NA,NA,NA,NA,1.1,0.582,0.399,NA,0.912,1.273,0.45,0.781
