"GeneID","UniProtID","auto_hetero","auto_mixo","auto_auto_CO2","mixo_mixo_CO2","mixo_hetero","mixo_NaCl_mixo","mixo_P_mixo","mixo_N_mixo","mixo_hypo10_mixo","mixo_hypo25_mixo","mixo_hypo75_mixo"
"Cre01.g000250","A8JD31","-2.68588888888889","-1.3505","-0.778166666666667","1.62816666666667","-0.590666666666667","-0.082","-0.211","-0.0303333333333333","0.157666666666667","-0.259666666666667","-0.0698333333333333"
"Cre01.g001300","A0A2K3E4T5","-0.827222222222222","0.497833333333333","-1.28995833333333","0.64125","-0.973875","0.186","0.512","0.185","1.06633333333333","0.399333333333333","0.396833333333333"
"Cre01.g001800","A0A2K3E4Q7","1.34222222222222","0.0555","0.571813333333333","-0.916166666666667","0.406625","0.01675","-0.25975","-0.29475","0.21475","-0.1278","-0.0696"
"Cre01.g002050","A0A2K3E4V9","2.09644444444444","0.147375","0.912358333333333","-0.649125","0.456125","0.01075","-0.17825","-0.27325","-0.27825","-0.401","-0.23325"
"Cre01.g002700","A0A2K3E4T7","-1.04911111111111","-0.0991666666666667","-0.458222222222222","0.386","0.411","-0.560666666666667","-0.388333333333333","0.208333333333333","-0.102333333333333","-0.188","-0.0503333333333333"
"Cre01.g002787","A0A2K3E4S5","-1.3878","-0.0607","-0.733173333333333","-0.1565","-0.41635","-0.153","0.091","0.2614","-0.2042","0.4244","0.3612"
"Cre01.g003463","A0A2K3E4V1","-2.71183333333333","-0.374375","-0.765275","0.639333333333333","-0.9783125","0.576","0.259","0.53175","0.4925","0.2345","0.233125"
"Cre01.g003950","A0A2K3E4W8 or A0A2K3E4X2","1.36473333333333","0.3749","0.6575","0.018","0.7489","-0.4944","-0.2446","-0.342","-0.4696","-0.3412","-0.1768"
"Cre01.g004050","A0A2K3E4X5","-1.90641666666667","-1.277125","-1.097225","1.1855","-0.5488125","-0.202","-0.2145","-0.143","0.13425","0.186333333333333","0.174"
"Cre01.g004124","A0A2K3E4X8 or A0A2K3E520","-0.252333333333333","-0.33375","-0.60415","0.89175","0.5800625","-0.473","-0.0725","-0.1725","0.28925","-0.024","0.21575"
"Cre01.g004600","A0A2K3E4Z7","-0.647","1.798","0.531558333333333","-1.517","-1.2441875","-0.0733333333333333","0.598333333333333","0.098","0.537666666666667","0.572333333333333","0.68"
"Cre01.g004651","A8JG00","-2.88291666666667","-2.03175","-2.38009166666667","-0.809","-0.579","0.497","-0.254","0.1115","0.5965","-0.245","0.165125"
"Cre01.g004900","A0A2K3E4Y8","1.27022222222222","0.4965","0.738611111111111","-0.6925","0.595416666666667","-0.268333333333333","-0.803666666666667","-0.033","0.0510000000000001","0.256666666666667","-0.0535"
"Cre01.g005813","A0A2K3E526","-2.14155555555556","-0.0155","-0.311222222222222","0.226","-4.02385","0.339","-0.401666666666667","-0.0236666666666667","0.804","0.384","0.1575"
"Cre01.g006150","A0A2K3E517","1.75083333333333","-0.0511666666666667","0.360777777777778","0.3285","0.543916666666667","-0.114333333333333","-0.225","-0.0463333333333333","-0.376666666666667","-0.325333333333333","-0.109833333333333"
"Cre01.g006900","A0A2K3E541 or A0A2K3E572","-1.7908","-0.67875","-1.06166666666667","-0.277833333333333","-0.41425","-0.253","-0.24125","0.2035","0.2605","0.1344","0.1134"
"Cre01.g007000","A0A2K3E549","-1.05916666666667","0.0465","-0.885555555555556","0.1515","0.53275","0.234333333333333","0.413","0.629666666666667","0.448","0.141","-0.0131666666666667"
"Cre01.g007500","A0A2K3E561","-3.44925","-0.20425","-1.63058333333333","0.315","-0.5165625","-0.11","0.416","0.269","0.3905","0.12625","0.2615"
"Cre01.g007651","A0A2K3E560","-0.866444444444444","0.708","0.11","0.776","-0.57925","-0.256","-0.212666666666667","0.483333333333333","0.691","0.644","0.505166666666667"
"Cre01.g007700","A0A2K3E592","-4.45","-0.954666666666667","-1.84622222222222","0.0695","-0.585375","-0.326333333333333","-0.042","0.233","-1.06766666666667","0.0976666666666667","0.084"
"Cre01.g007901","A0A2K3E569 or A0A2K3E574 or A0A2K3E5B4","NaN","1.04333333333333","-1.07838888888889","-0.8405","-0.858833333333333","-0.131","0.849","1.00866666666667","1.03466666666667","0.341","0.845833333333333"
"Cre01.g007950","A0A2K3E587","1.68044444444444","0.194833333333333","-0.152722222222222","-0.087","0.82725","-0.265666666666667","-0.201333333333333","-0.46","-0.326333333333333","-0.256","0.0233333333333333"
"Cre01.g008000","A0A2K3E570","1.094","-0.394","-0.107041666666667","0.175875","0.411875","0.07425","-0.73875","-0.16075","-0.07825","-0.23825","-0.101"
"Cre01.g008100","A0A2K3E5C4","-1.85283333333333","-0.66125","-0.923625","0.0303333333333333","-0.8280625","0.10025","-0.058","0.083","0.18575","0.132","-0.03075"
"Cre01.g008650","A0A2K3E591","-2.26116666666667","-0.940083333333333","-1.25019444444444","0.1785","-0.669083333333333","0.257833333333333","-0.0431666666666667","0.00583333333333332","0.0261666666666667","0.057","0.0385833333333333"
"Cre01.g009150","A8JD10","-1.84233333333333","-0.778","-0.796588888888889","0.165","-0.4625","0.570333333333333","-0.0193333333333333","0.0453333333333333","0.529666666666667","0.355666666666667","0.132833333333333"
"Cre01.g009400","A0A2K3E5B1","0.622","0.199166666666667","0.780611111111111","0.136833333333333","0.67275","-0.271666666666667","-0.327","-0.260333333333333","-0.415666666666667","-0.181333333333333","-0.141333333333333"
"Cre01.g009500","A0A2K3E5B6","-2.5257619047619","-0.486428571428571","-1.02952380952381","0.566333333333333","-0.759714285714286","-0.109428571428571","-0.000571428571428572","-0.00628571428571428","-0.00757142857142855","-0.0293333333333333","-0.0359285714285714"
"Cre01.g009575","A0A2K3E5F5","-1.5228","-1.2736","-1.77315333333333","0.01075","-0.32025","0.4846","-0.0608","0.2536","0.721","-0.0652","0.189"
"Cre01.g009765","A0A2K3E5C3","-3.37488888888889","-0.581833333333333","-1.02072222222222","1.013","-0.393416666666667","-0.823","-0.358666666666667","-0.259333333333333","-0.541666666666667","-0.0863333333333333","-0.189833333333333"
"Cre01.g010000","Q9FXT7","1.41383333333333","-0.255875","0.0778583333333333","0.4055","0.852625","-0.517","-0.12975","-0.27625","-0.563","-0.275333333333333","-0.159625"
"Cre01.g010050","A0A2K3E5F1","-1.33358333333333","-0.96875","-0.613575","0.98675","-0.072375","-0.17675","0.295","-0.01725","-0.37575","-0.27275","-0.045"
