RxnIndex,RxnID
Rxn194,3SPYRSPh
Rxn201,4ABUTthi
Rxn204,4ABUTtmi
Rxn209,4MZYMDM
Rxn230,AABHH
Rxn231,AACP1819ZS
Rxn232,AACPS1
Rxn233,AACPS3
Rxn234,AACPS4
Rxn235,AACPS5
Rxn236,AACPS6
Rxn239,AAPT
Rxn273,ABOR
Rxn274,ACACT
Rxn301,ACALD
Rxn302,ACALDh
Rxn342,ACDHi
Rxn343,ACDHmi
Rxn356,ACOA100OR
Rxn357,ACOA120OR
Rxn358,ACOA140OR
Rxn359,ACOA160OR
Rxn360,ACOA40OR
Rxn361,ACOA60OR
Rxn362,ACOA80OR
Rxn615,ACOAR2m
Rxn616,ACOAR3m
Rxn617,ACOAR4m
Rxn618,ACOAR5m
Rxn619,ACOAR6m
Rxn620,ACOAR7m
Rxn645,ACPCS
Rxn653,ACPT16018111Z
Rxn654,ACPT1601819Z
Rxn655,ACPT18111Z18111Z
Rxn656,ACPT18111Z1819Z
Rxn657,ACPT1819Z18111Z
Rxn658,ACPT1819Z1819Z
Rxn680,ACSERthi
Rxn681,ACSERtmi
Rxn703,ADNDA
Rxn708,ADPA
Rxn713,ADRH
Rxn729,AGDI
Rxn813,ALCDH_nadp_hi
Rxn814,ALCDH_nadp_i
Rxn815,ALCDH_pqq_x
Rxn816,ALCDHi
Rxn817,ALCDHmi
Rxn818,ALDDH
Rxn819,ALDDHm
Rxn848,AMP5N
Rxn868,ANTPPT
Rxn917,ARDC
Rxn918,ARGD
Rxn919,ARGDI
Rxn920,ARGDh
Rxn931,AROAT
Rxn932,AROAT2
Rxn933,AROAT2h
Rxn934,AROATh
Rxn965,ASCBOR
Rxn966,ASCBOR2
Rxn1042,ATAH_co2
Rxn1099,ATPM_NGAM
Rxn1100,ATPPH
Rxn1101,ATPPHm
Rxn1114,ATP_3h_th
Rxn1115,ATP_3h_tm
Rxn1116,ATS
Rxn1122,AUNOR
Rxn1127,AUS
Rxn1154,BCTA_val
Rxn1155,BCTA_val_h
Rxn1162,BDMT
Rxn1163,BFFS
Rxn1177,BUPN
Rxn1196,CAT
Rxn1197,CBL
Rxn1200,CDDA
Rxn1211,CDPPH
Rxn1213,CGDP
Rxn1220,CHLDA1tu
Rxn1221,CHLDA2tu
Rxn1240,CMP
Rxn1241,CMPA
Rxn1250,CO2th
Rxn1255,COA1819ZD9DS
Rxn1276,CPPPGOR
Rxn1281,CS
Rxn1282,CSDA
