RxnIndex,RxnID,Enzymes
Rxn201,4ABUTthi,A0A2K3DUN3
Rxn204,4ABUTtmi,A0A2K3DUN3
Rxn213,5FLURAt,A0A2K3CNK1;A0A2K3D7X3;A0A2K3DAL8;A0A2K3DRD9;A8IB03;A8II65;A8II76
Rxn223,6MPURt,A0A2K3CNK1;A0A2K3D7X3;A0A2K3DAL8;A0A2K3DRD9;A8IB03;A8II65;A8II76
Rxn239,AAPT,A8IRI7
Rxn356,ACOA100OR,A0A2K3CS90;A0A2K3CU56;A0A2K3CUM5;A0A2K3CVE5;A0A2K3D821;A0A2K3DRX6;A0A2K3DRY2
Rxn357,ACOA120OR,A0A2K3CS90;A0A2K3CU56;A0A2K3CUM5;A0A2K3CVE5;A0A2K3D821;A0A2K3DRX6;A0A2K3DRY2
Rxn358,ACOA140OR,A0A2K3CS90;A0A2K3CU56;A0A2K3CUM5;A0A2K3CVE5;A0A2K3D821;A0A2K3DRX6;A0A2K3DRY2
Rxn359,ACOA160OR,A0A2K3CS90;A0A2K3CU56;A0A2K3CUM5;A0A2K3CVE5;A0A2K3D821;A0A2K3DRX6;A0A2K3DRY2
Rxn360,ACOA40OR,A0A2K3CS90;A0A2K3CU56;A0A2K3CUM5;A0A2K3CVE5;A0A2K3D821;A0A2K3DRX6;A0A2K3DRY2
Rxn361,ACOA60OR,A0A2K3CS90;A0A2K3CU56;A0A2K3CUM5;A0A2K3CVE5;A0A2K3D821;A0A2K3DRX6;A0A2K3DRY2
Rxn362,ACOA80OR,A0A2K3CS90;A0A2K3CU56;A0A2K3CUM5;A0A2K3CVE5;A0A2K3D821;A0A2K3DRX6;A0A2K3DRY2
Rxn822,ALLTNtm,A0A2K3DE14
Rxn848,AMP5N,A0A2K3CZW1;A0A2K3DBK2
Rxn1042,ATAH_co2,A0A2K3D0D6
Rxn1100,ATPPH,A0A2K3CUZ9;A0A2K3DJV4;A0A2K3DNI0;A0A2K3DNJ4;A0A2K3E7C0
Rxn1101,ATPPHm,A0A2K3DJV4;A0A2K3DNI0;A0A2K3DNJ4;A0A2K3E7C0
Rxn1163,BFFS,A0A2K3D2A1;A0A2K3D2A2;A0A2K3D2V6
Rxn1213,CGDP,A0A2K3CRF7;A0A2K3DTW7;A0A2K3E592
Rxn1240,CMP,A0A2K3CZW1;A0A2K3DBK2
Rxn1488,DAMPH,A0A2K3CZW1;A0A2K3DBK2
Rxn1525,DCMP,A0A2K3CZW1;A0A2K3DBK2
Rxn1765,DMPH,A0A2K3CZW1;A0A2K3DBK2
Rxn2005,FBPPH,A0A2K3CSW6
Rxn2080,G6PADH,A0A2K3CQK6
Rxn2139,GCPN,A0A2K3CXS8;A0A2K3CXT4;A0A2K3D3C8;A0A2K3D3E2;A0A2K3D7N5;A0A2K3E4B4
Rxn2196,GLUS,A0A2K3D151
Rxn2197,GLUS_ferr,A0A2K3CTD8;A0A2K3D3L7;Q2HZ21;Q2HZ22;Q2HZ23;Q2HZ24
Rxn2198,GLUS_nadph,A0A2K3D151
Rxn2251,GMP5N,A0A2K3CZW1;A0A2K3DBK2
Rxn2357,H2Ot,A0A2K3CPK8;Q5VLJ9
Rxn2359,H2Otf,A0A2K3CPK8;Q5VLJ9
Rxn2361,H2Oth,A0A2K3CPK8;Q5VLJ9
Rxn2362,H2Othu,A0A2K3CPK8;Q5VLJ9
