RxnIndex,RxnID,Enzymes
Rxn201,4ABUTthi,A0A2K3DUN3
Rxn204,4ABUTtmi,A0A2K3DUN3
Rxn239,AAPT,A8IRI7
Rxn822,ALLTNtm,A0A2K3DE14
Rxn848,AMP5N,A0A2K3CZW1;A0A2K3DBK2
Rxn1042,ATAH_co2,A0A2K3D0D6
Rxn1240,CMP,A0A2K3CZW1;A0A2K3DBK2
Rxn1488,DAMPH,A0A2K3CZW1;A0A2K3DBK2
Rxn1525,DCMP,A0A2K3CZW1;A0A2K3DBK2
Rxn1765,DMPH,A0A2K3CZW1;A0A2K3DBK2
Rxn2005,FBPPH,A0A2K3CSW6
Rxn2080,G6PADH,A0A2K3CQK6
Rxn2196,GLUS,A0A2K3D151
Rxn2198,GLUS_nadph,A0A2K3D151
Rxn2251,GMP5N,A0A2K3CZW1;A0A2K3DBK2
Rxn2525,HOXGh,A0A2K3D9D4
Rxn2596,I5NT,A0A2K3CZW1;A0A2K3DBK2
Rxn2780,MDHCm,A0A2K3DN65
Rxn2992,NA1th,A0A2K3CTS2
Rxn2994,NA1tm,A0A2K3CTS2
Rxn3087,NTD1,A0A2K3CZW1;A0A2K3DBK2
Rxn3385,PLDAGAT16018111Z1601,H6V961
Rxn3386,PLDAGAT16018111Z1602,H6V961
Rxn3387,PLDAGAT16018111Z18111Z1,H6V961
Rxn3388,PLDAGAT16018111Z18111Z2,H6V961
Rxn3389,PLDAGAT16018111Z18111Z3,H6V961
Rxn3390,PLDAGAT16018111Z1819Z1,H6V961
Rxn3391,PLDAGAT16018111Z1819Z2,H6V961
Rxn3392,PLDAGAT16018111Z1819Z3,H6V961
Rxn3393,PLDAGAT16018111Z1819Z4,H6V961
Rxn3394,PLDAGAT1601819Z1601,H6V961
Rxn3395,PLDAGAT1601819Z1602,H6V961
Rxn3396,PLDAGAT1601819Z18111Z1,H6V961
Rxn3397,PLDAGAT1601819Z18111Z2,H6V961
Rxn3398,PLDAGAT1601819Z18111Z3,H6V961
Rxn3399,PLDAGAT1601819Z1819Z1,H6V961
Rxn3400,PLDAGAT1601819Z1819Z2,H6V961
Rxn3401,PLDAGAT1601819Z1819Z3,H6V961
Rxn3402,PLDAGAT1601819Z1819Z4,H6V961
Rxn3403,PLDAGAT1801819Z1601,H6V961
Rxn3404,PLDAGAT1801819Z1602,H6V961
Rxn3405,PLDAGAT1801819Z18111Z1,H6V961
Rxn3406,PLDAGAT1801819Z18111Z2,H6V961
Rxn3407,PLDAGAT1801819Z18111Z3,H6V961
Rxn3408,PLDAGAT1801819Z1819Z1,H6V961
Rxn3409,PLDAGAT1801819Z1819Z2,H6V961
Rxn3410,PLDAGAT1801819Z1819Z3,H6V961
Rxn3411,PLDAGAT1801819Z1819Z4,H6V961
Rxn3412,PLDAGAT18111Z18111Z1601,H6V961
Rxn3413,PLDAGAT18111Z18111Z1602,H6V961
Rxn3414,PLDAGAT18111Z18111Z18111Z1,H6V961
Rxn3415,PLDAGAT18111Z18111Z18111Z2,H6V961
Rxn3416,PLDAGAT18111Z18111Z18111Z3,H6V961
Rxn3417,PLDAGAT18111Z18111Z1819Z1,H6V961
Rxn3418,PLDAGAT18111Z18111Z1819Z2,H6V961
Rxn3419,PLDAGAT18111Z18111Z1819Z3,H6V961
Rxn3420,PLDAGAT18111Z18111Z1819Z4,H6V961
