RxnIndex,RxnID
Rxn1,10FTHFtx
Rxn3,1ACPCth
Rxn5,1ACPCtm
Rxn20,23DHMBth
Rxn22,23DHMBtm
Rxn24,23DHMPth
Rxn28,2DHPtm
Rxn30,2DHPtn
Rxn38,2PGLYCth
Rxn40,2PGLYCtx
Rxn42,2PGth
Rxn44,2PGtm
Rxn48,34HPPt2m
Rxn50,3C3HMPth
Rxn74,3MOBth
Rxn76,3MOPtm
Rxn192,3PGtx
Rxn194,3SPYRSPh
Rxn199,4ABUTth
Rxn202,4ABUTtm
Rxn205,4HPROtg
Rxn207,4MOPtm
Rxn209,4MZYMDM
Rxn211,4MZYMR
Rxn219,5MTAth
Rxn221,5MTAtm
Rxn225,6PGLthr
Rxn297,ACACtm
Rxn299,ACACtx
Rxn303,ACALDtx
Rxn305,ACAROtu
Rxn338,ACCOAts
Rxn623,ACONT
Rxn627,ACONTx
Rxn683,ACt
Rxn685,ACth
Rxn687,ACtm
Rxn689,ACts
Rxn701,ADEt
Rxn719,ADtr
Rxn765,AHCYStg
Rxn767,AHCYStn
Rxn773,AIRth
Rxn786,AKG_na_th
Rxn788,AKG_na_tm
Rxn794,ALABth
Rxn796,ALABtm
Rxn815,ALCDH_pqq_x
Rxn820,ALLTNt
Rxn824,ALLTTt
Rxn826,ALLTTtm
Rxn834,AMETAMth
Rxn836,AMETAMtm
Rxn842,AMETtg
Rxn844,AMETth
Rxn846,AMETtn
Rxn853,AMPth
Rxn855,AMPtn
Rxn914,APStn
Rxn927,ARG_Lt
Rxn929,ARG_Ltm
Rxn971,ASCBth
Rxn973,ASCBtm
Rxn975,ASCBtu
Rxn1016,ASPSAth
Rxn1040,ATAH
Rxn1099,ATPM_NGAM
Rxn1116,ATS
Rxn1127,AUS
Rxn1130,BCACT
Rxn1172,BTNth
Rxn1174,BTNtm
Rxn1190,CAROtu
Rxn1196,CAT
Rxn1218,CHLAtu
Rxn1220,CHLDA1tu
Rxn1221,CHLDA2tu
Rxn1222,CHLDADMT
Rxn1226,CHLDBtu
Rxn1231,CITALt
Rxn1235,CITRLtm
Rxn1237,CITx
Rxn1242,CMPth
Rxn1246,CMTEPtm
Rxn1248,CO2t
Rxn1250,CO2th
Rxn1251,CO2tm
Rxn1253,CO2tx
Rxn1256,COA_h_tx
Rxn1258,COAth
Rxn1260,COAtm
Rxn1262,COAts
Rxn1266,COt
Rxn1268,COth
Rxn1270,CPP1O
Rxn1272,CPP3O
Rxn1277,CRETINOLOR1
Rxn1279,CRETINOLOR2
Rxn1281,CS
Rxn1286,CTPth
Rxn1292,CYEUOLS
Rxn1334,CYSth
Rxn1336,CYStm
Rxn1347,DAD5th
Rxn1349,DAD5tm
Rxn1518,DBRC
Rxn1520,DBTS
Rxn1537,DDSMSTOLD
Rxn1729,DHAPtm
Rxn1740,DHORStm
Rxn1759,DICtm
Rxn1767,DMPPth
Rxn1806,DOLPGT3
Rxn1807,DOLPMT1
Rxn1808,DOLPMT2
Rxn1813,DSMSTOLD
Rxn1855,D_LACti
Rxn1856,D_LACtm
Rxn1937,ETOHth
Rxn1939,ETOHti
Rxn1940,ETOHtm
Rxn1942,ETOHtx
Rxn1944,F6PBth
Rxn1945,F6P_pi_thi
Rxn1952,FA160h
Rxn1954,FA1619Zh
Rxn1961,FA180h
Rxn1963,FA18111Zh
Rxn1967,FA1819Zh
Rxn1971,FA40COAabcp
Rxn1972,FA40COAtm
Rxn1985,FADH2th
Rxn1987,FADH2tm
Rxn1989,FADH2tx
Rxn1991,FADth
Rxn1993,FADtm
Rxn1995,FADtx
Rxn2008,FDPtf
Rxn2033,FRDPth
Rxn2035,FRDPtm
Rxn2046,G12MT3
Rxn2047,G12MT4
Rxn2113,GALTLtm
Rxn2116,GALm
Rxn2119,GAM
Rxn2135,GCAROtu
Rxn2140,GDH
Rxn2141,GDH_nadp
Rxn2158,GGDPtu
Rxn2179,GLNt
Rxn2204,GLUTRS
Rxn2208,GLXtx
Rxn2217,GLYCLTt
Rxn2219,GLYCLTth
Rxn2221,GLYCLTtm
Rxn2223,GLYCLTtx
Rxn2254,GMPtm
Rxn2256,GMPtn
Rxn2274,GRDPth
Rxn2276,GSC
Rxn2289,GTHOXtu
Rxn2295,GTHRDth
Rxn2297,GTHRDtm
Rxn2299,GTHRDtu
Rxn2323,GTPth
Rxn2347,GUAt
Rxn2349,H2O2th
Rxn2351,H2O2tm
Rxn2353,H2O2tn
Rxn2355,H2O2tx
Rxn2366,H2Otn
Rxn2368,H2Ots
Rxn2372,H2th
Rxn2374,H2ti
Rxn2375,H2tm
Rxn2476,HCO3_h_thi
Rxn2477,HCO3_h_tmi
Rxn2478,HCYSth
Rxn2480,HCYStm
Rxn2483,HDCAts
Rxn2497,HGENTISth
Rxn2501,HISD
Rxn2510,HMGCOAtm
Rxn2528,HP
Rxn2529,HPCOR
Rxn2553,HXANt
Rxn2591,HYNE
Rxn2592,Htg
Rxn2594,Hts
Rxn2600,ICDHhr
Rxn2635,IMPth
Rxn2638,IPDPth
Rxn2684,LEUt
Rxn2692,LIDOt
Rxn2696,LLDHh
Rxn2698,LLDHm
Rxn2701,LNLCth
Rxn2719,LS
Rxn2721,LUTH
Rxn2728,M5TRPH
Rxn2737,MAKI
Rxn2743,MALCOAMT
Rxn2747,MALOAAth
Rxn2752,MAL_na_th
Rxn2754,MAL_na_tm
Rxn2756,MANth
Rxn2778,MDHASCBL
Rxn2793,MEGLYXYLt
Rxn2795,MEOHt
Rxn2797,MEOHtm
Rxn2817,METtm
Rxn2957,MOPC
Rxn2958,MOTA
Rxn2983,N2PH
Rxn2999,NADH_h_tx
Rxn3001,NADHth
Rxn3003,NADHtm
Rxn3004,NADHts
Rxn3006,NADPHtf
Rxn3008,NADPHth
Rxn3009,NADPHts
Rxn3011,NADPHtu
Rxn3013,NADPHtx
Rxn3015,NADPtf
Rxn3017,NADPth
Rxn3019,NADPts
Rxn3021,NADPtu
Rxn3023,NADPtx
Rxn3026,NADth
Rxn3027,NADtm
Rxn3029,NADts
Rxn3031,NADtx
Rxn3035,NCAMt
Rxn3037,NCAMtm
Rxn3044,NEOXANS
Rxn3056,NICRNTtm
Rxn3061,NMNt
Rxn3086,NRS
Rxn3089,O2t
Rxn3091,O2thr
Rxn3093,O2tmr
Rxn3095,O2tnr
Rxn3097,O2trhu
Rxn3099,O2tx
Rxn3107,OAAtf
Rxn3109,OCDOR
Rxn3126,OGMG
Rxn3141,ORNt
Rxn3165,PAPA16018111Z
Rxn3166,PAPA1601819Z
Rxn3169,PAPA1801819Z
Rxn3171,PAPA181
Rxn3173,PAPA18111Z1819Z
Rxn3177,PAPA1819Z18111Z
Rxn3179,PAPA1819Z1819Z
Rxn3188,PC2D
Rxn3191,PCBth
Rxn3195,PCNO
Rxn3197,PCNOn
Rxn3207,PDCh
Rxn3229,PDPtu
Rxn3292,PGKf
Rxn3296,PGKm
Rxn3346,PGPP18111Z160h
Rxn3347,PGPP1819Z160h
Rxn3358,PHEMEth
