RxnIndex,RxnID,meanFlux,stdFlux
Rxn1,10FTHFtx,1.94840969363027e-08,8.46709400104287e-09
Rxn3,1ACPCth,0.00485157803426443,0.00203842519769634
Rxn5,1ACPCtm,0.00495108750774905,0.00206860573086936
Rxn20,23DHMBth,0.0015265086674164,0.000884005085972681
Rxn22,23DHMBtm,0.00131563985989109,0.000792149595621779
Rxn24,23DHMPth,0.00066347064629818,0.000574462807851245
Rxn28,2DHPtm,4.68928977077285e-09,1.86652880713653e-09
Rxn30,2DHPtn,1.89231764770361e-12,1.0530376719004e-12
Rxn38,2PGLYCth,1.71093411807609e-05,0.000306801245389957
Rxn40,2PGLYCtx,1.71093403416567e-05,0.000306801245383477
Rxn42,2PGth,4.54292984635275e-13,1.30817132353782e-13
Rxn44,2PGtm,6.29455536550655,0.434656829506006
Rxn48,34HPPt2m,0.323917986068442,0.654852592533431
Rxn50,3C3HMPth,0.00032098243354218,0.000399304524363043
Rxn74,3MOBth,0.00271991366376493,0.00084353127595889
Rxn76,3MOPtm,0.000287530986648054,0.00111892514672745
Rxn190,3PG_pi_thr,1.26232879268603,0.332659454240662
Rxn192,3PGtx,3.13900161538911e-13,2.38062029834584e-13
Rxn197,44MZYMOR,3.80673644012756e-09,6.61223420543675e-09
Rxn199,4ABUTth,415.650806151849,161.777211142949
Rxn202,4ABUTtm,195.965118334608,133.537092064258
Rxn205,4HPROtg,4.00764146376322e-13,3.37305380477691e-13
Rxn207,4MOPtm,1.93118058047281e-09,1.61224540579252e-09
Rxn211,4MZYMR,3.80795295997897e-09,6.61201104493126e-09
Rxn213,5FLURAt,5.58491896330144e-13,3.70623243810786e-13
Rxn215,5FTHFt,9.91028199865122e-13,2.32444733711507e-13
Rxn217,5FTHFtm,2.52235753803606e-12,5.70237793297927e-13
Rxn219,5MTAth,1.2829020695945e-12,6.17626045303605e-13
Rxn221,5MTAtm,1.67473746277578e-09,1.8019814521878e-09
Rxn223,6MPURt,7.57133621179622e-10,4.17948143284371e-10
Rxn225,6PGLthr,0.00379293698417824,0.0105811402220047
Rxn265,ABAT,0.000242189474351258,0.00133309081354332
Rxn275,ACACT1,0.000178253198251848,0.00145546218133636
Rxn297,ACACtm,9.00132228564035e-05,0.000636103788790194
Rxn299,ACACtx,8.81859001656414e-06,0.000245980426275573
Rxn303,ACALDtx,2.16042993105308,0.736937959829988
Rxn305,ACAROtu,6.46655682981134e-05,3.40671768767656e-12
Rxn308,ACCAHh,0.00485157803501153,0.00203842519772268
Rxn310,ACCAHm,0.00495108750666647,0.00206860573087115
Rxn334,ACCOAth,2.03578466870576,0.635302449624209
Rxn336,ACCOAtm,3.97918922366633,1.12430386524937
Rxn338,ACCOAts,4.48932771086294e-09,2.16121586509297e-09
Rxn340,ACCOAtx,0.00403438541578131,0.0191041735721257
Rxn623,ACONT,0.0250621434025338,0.0761397468089503
Rxn627,ACONTx,7.78267888264509e-13,2.1288945813966e-13
Rxn647,ACPS1,2.3180826516504e-13,7.71200217520509e-14
Rxn649,ACPS1h,3.17082031632281e-13,1.61608234425785e-13
Rxn651,ACPS1m,9.49053528438097e-13,4.55682798715619e-13
Rxn683,ACt,7.39417635605766e-05,0.000806780073338528
Rxn685,ACth,1.96425650795338,0.636249271127267
Rxn687,ACtm,1.89419811605271,0.643120200370051
Rxn689,ACts,4.49743267410893e-09,2.16106175309588e-09
Rxn701,ADEt,1.2456158140473e-05,0.000173061895149087
Rxn706,ADNtm,7.35384666101797e-06,2.34718252482232e-08
Rxn719,ADtr,3.461306119655e-09,2.35943637018723e-09
Rxn765,AHCYStg,7.48333424798803e-13,4.97523462156267e-13
Rxn767,AHCYStn,5.15691115613319e-13,3.46200174016987e-13
Rxn773,AIRth,2.09309130504325e-12,1.26412088332801e-12
Rxn775,AKGCITtm,745.004990732284,188.560420002525
Rxn782,AKGICITtm,779.039222793056,166.573596360898
Rxn784,AKGMALth,609.445989095302,251.973115197656
Rxn786,AKG_na_th,609.482340353994,251.980433578797
Rxn788,AKG_na_tm,194.502348726674,148.342576966092
Rxn794,ALABth,2.80263689520536e-12,5.63867163201888e-13
Rxn796,ALABtm,3.03806953356373e-08,1.85140111952727e-08
Rxn798,ALANA1tm,937.432197780585,88.3785475585428
Rxn800,ALANA1tx,4.32072438682499,1.4739119615366
Rxn805,ALAtm,937.433184581368,88.37852498205
Rxn807,ALAtx,4.32072438682426,1.4739119615365
Rxn809,ALCD19,1.73655689607299,7.73756330584403
Rxn811,ALCD19y,1.73621327191003,7.73761800296024
Rxn820,ALLTNt,3.26297354538818e-05,0.000492950935064004
Rxn822,ALLTNtm,3.2629737637895e-05,0.00049295093506997
Rxn824,ALLTTt,2.11873465893171e-08,1.56907103250586e-08
Rxn826,ALLTTtm,2.1189012715085e-08,1.569067628594e-08
Rxn832,AMAOTr,6.7501016941219e-08,4.3517681535379e-13
Rxn834,AMETAMth,3.5955951378259e-12,7.4171707973854e-13
Rxn836,AMETAMtm,1.67468028420445e-09,1.80108112481677e-09
Rxn838,AMETt2h,0.000898821719041663,1.74675006322087e-08
Rxn840,AMETt2m,0.00218467440066835,0.000187908067146636
Rxn842,AMETtg,1.54274378629372e-12,4.14136841912385e-13
Rxn844,AMETth,2.78991350494492e-06,4.08270176443827e-05
Rxn846,AMETtn,4.82914595673548e-13,2.76577677825463e-13
Rxn853,AMPth,2.61951345072508e-11,1.54695309201098e-11
Rxn855,AMPtn,1.18773456158104e-11,8.05518186962483e-13
Rxn860,ANNAT,0.00035074891881605,0.00720620518291378
Rxn861,ANNATn,4.08353708344086e-13,2.95254332942932e-13
Rxn863,ANNA,0.000262551034829184,0.00124545207246746
Rxn866,ANNAn,1.02245102039439e-12,4.2955423408377e-13
Rxn869,ANXANASCOR,0.000857690554940459,0.0209372654081273
Rxn895,APPAT,9.07303443368654e-11,8.51004037675509e-12
Rxn914,APStn,2.61547222845022e-12,8.67755593279065e-13
Rxn921,ARGSL,0.00704085597478229,0.00353307363342481
Rxn927,ARG_Lt,1.50750983729921e-05,0.000195475798618465
Rxn929,ARG_Ltm,0.0060548542167604,0.00187480126189531
Rxn961,ASAPT,2.04769372154928e-12,3.91063445474683e-13
Rxn963,ASCBNA1t,5.7705690763656e-05,0.000649672005116353
Rxn969,ASCBOR4,0.174894155031404,0.27644479309104
Rxn971,ASCBth,4.99986969552056e-12,8.42096750145659e-13
Rxn973,ASCBtm,5.77056954838515e-05,0.000649672005122014
Rxn975,ASCBtu,4.60098506791699e-12,5.89759737448572e-13
Rxn977,ASNNA1tm,994.934453196493,32.4112012062768
Rxn982,ASNtm,994.934453196492,32.4112012062769
Rxn984,ASNtx,0.000435866809897015,0.00362631797530163
Rxn1009,ASPNA1th,563.465633602995,243.164055230315
Rxn1011,ASPNA1tm,741.580231642007,172.88158853956
Rxn1016,ASPSAth,0.000761689236323331,3.74058027963591e-11
Rxn1026,ASPth,563.594560089438,243.209534950697
Rxn1028,ASPtm,741.481784549858,172.864754555334
Rxn1030,ASPtx,0.000435866804835802,0.00362631797527421
Rxn1040,ATAH,1.10418604344646e-08,6.25165364799602e-09
Rxn1128,BAOAT,3.04908306479336e-08,1.85139095726765e-08
Rxn1130,BCACT,0.000852699993826752,4.18506149943235e-11
Rxn1138,BCAROKT,4.96271262844374e-12,4.26650849239161e-13
Rxn1148,BCTA,0.00052013608285754,0.000959581886423335
Rxn1150,BCTA_glu,0.00354797252878989,0.000704731076293337
Rxn1152,BCTA_glu_h,3.20926002837578e-13,2.00353085768139e-13
Rxn1160,BCTAh,0.0009950952115716,0.00102470346009797
Rxn1172,BTNth,7.32869997453563e-13,4.62902317430309e-13
Rxn1174,BTNtm,6.750261367985e-08,4.91022638043437e-13
Rxn1179,CADMO,3.80315634832522e-09,6.612700406916e-09
Rxn1181,CADS,3.80376805638859e-09,6.61262540712966e-09
Rxn1190,CAROtu,1.75094209382673e-08,2.73147731190704e-12
Rxn1214,CHLADMT,2.59341274450462e-12,3.47614044497119e-13
Rxn1216,CHLAE,3.99120080457907e-13,2.43437872645711e-13
Rxn1218,CHLAtu,8.01312595225728e-13,4.09953535515767e-13
Rxn1222,CHLDADMT,2.26488394271006e-11,5.48892021379506e-13
Rxn1224,CHLDAO,0.00055849635762366,2.76774215121082e-11
Rxn1226,CHLDBtu,0.000558496356366441,2.75773262847999e-11
Rxn1231,CITALt,1.32653182786401e-12,8.06411884917893e-13
Rxn1233,CITICITtm,607.869502180475,250.482078748623
Rxn1235,CITRLtm,0.00587101936425535,0.000742400305578704
Rxn1237,CITx,2.99629202021877e-05,0.000550323406255007
Rxn1242,CMPth,0.00526020302055263,1.95865124115785e-07
Rxn1246,CMTEPtm,7.48885512885883e-06,2.34710822926477e-08
Rxn1248,CO2t,1.95087706613775,0.605329902389554
Rxn1251,CO2tm,18.9158085877113,36.5141320339748
Rxn1253,CO2tx,5.68713630129736e-13,2.5612538279044e-13
Rxn1256,COA_h_tx,0.000178253225172406,0.00145546218131482
Rxn1258,COAth,0.00209276962628326,0.00125480878314978
Rxn1260,COAtm,0.0041749286720989,0.00232315022054283
Rxn1262,COAts,6.73114950086002e-09,5.24332159803194e-09
Rxn1264,COORr,0.982651882161534,0.604856177530533
Rxn1266,COt,0.982676249043792,0.604854291956745
Rxn1268,COth,1.68780308055285e-05,9.92761896923497e-05
Rxn1270,CPP1O,1.33301566571855e-13,1.00581676409883e-13
Rxn1272,CPP3O,7.18655635709273e-13,1.49914969321225e-13
Rxn1277,CRETINOLOR1,613.848429513165,253.145395160487
Rxn1279,CRETINOLOR2,613.848429508816,253.145395157668
Rxn1286,CTPth,0.00526020296904772,1.95865107016301e-07
Rxn1288,CYARTMT,8.04681908784164e-12,7.21317175650947e-13
Rxn1292,CYEUOLS,8.44746197649992e-12,6.91054303775458e-13
Rxn1334,CYSth,0.00155966498445965,0.00808066252042376
Rxn1336,CYStm,0.00145838407295861,0.00808064169217527
Rxn1342,CY_focytb5_c,0.0104387685863097,0.00102707431902278
Rxn1344,CY_focytc_h,0.000239321427424894,0.00213614960967312
Rxn1347,DAD5th,2.78991017991833e-06,4.08270176511258e-05
Rxn1349,DAD5tm,6.74993270505105e-08,3.68975890834275e-13
Rxn1488,DAMPH,0.000506032216801051,0.0171704344501568
Rxn1512,DATPtm,0.00227113785327713,0.0174657542690252
Rxn1518,DBRC,1.48071341698385e-12,7.74167491375426e-13
Rxn1530,DCTPtm,0.00117558444256711,0.0117733165869785
Rxn1537,DDSMSTOLD,6.42428956731215e-09,6.61236483673476e-09
Rxn1673,DGTPtm,0.00228156950362601,0.0166170816990269
Rxn1727,DHAP_pi_thr,0.00224071002228043,0.000522780944632053
Rxn1729,DHAPtm,0.000121282213237129,0.000338439177272631
Rxn1740,DHORStm,0.00320704549785316,0.00120310589126084
Rxn1743,DHPD,3.03776186050206e-08,1.85137645248993e-08
Rxn1749,DHRO,0.00320704550039432,0.00120310589121646
Rxn1759,DICtm,0.0114667281737221,0.00428211568400232
Rxn1765,DMPH,0.000499139526873878,0.0168584419709986
Rxn1767,DMPPth,4.5399844152524e-05,8.7076306847155e-05
Rxn1813,DSMSTOLD,1.05686262318712e-11,5.20827827501468e-13
Rxn1823,DTTPtm,0.00495199773118374,0.038087663081152
Rxn1856,D_LACtm,3.37316692491081e-05,0.000759617715171168
Rxn1892,ECH_3hivcoa,1.15038732725681e-13,8.69170995059359e-14
Rxn1895,ECOAH1,0.000178253205897114,0.00145546218130827
Rxn1897,ECOAH2,0.000615188852468598,0.00291195843762392
Rxn1899,ECOAH2m,0.0126963648952471,0.00297018507598371
Rxn1901,ECOAH3,0.000615188851396167,0.00291195843762148
Rxn1903,ECOAH3m,0.0126963649081312,0.00297018507600617
Rxn1905,ECOAH4,0.000615188850601573,0.0029119584376485
Rxn1907,ECOAH4m,0.0126963649003959,0.00297018507604017
Rxn1909,ECOAH5,0.000615188850291935,0.00291195843764957
Rxn1911,ECOAH5m,0.0126963648911597,0.00297018507606163
Rxn1913,ECOAH6,0.00061518885733539,0.0029119584376374
Rxn1915,ECOAH6m,0.0126963649043944,0.00297018507605542
Rxn1917,ECOAH7,0.000615188861134,0.00291195843765186
Rxn1919,ECOAH7m,0.0126963648990228,0.00297018507606224
Rxn1937,ETOHth,0.0029953550610779,0.00637917774846206
Rxn1940,ETOHtm,2.05021805323189,0.606925931484587
Rxn1942,ETOHtx,2.16042993105077,0.736937959830214
Rxn1952,FA160h,0.00511803471730021,0.000688457323940915
Rxn1954,FA1619Zh,9.32851554317485e-13,3.94935060659951e-13
Rxn1961,FA180h,0.000136260229671805,0.000140343325566467
Rxn1963,FA18111Zh,0.00183115788051421,4.54721242016436e-05
Rxn1967,FA1819Zh,0.00161360438510545,0.000475008120050003
Rxn1972,FA40COAtm,0.0126963649043597,0.00297018507600939
Rxn1985,FADH2th,0.804442779398769,0.566943883063567
Rxn1987,FADH2tm,0.187910207185336,0.327156803344767
Rxn1989,FADH2tx,0.00386938632256425,0.018237052898213
Rxn1991,FADth,0.80444277940147,0.566943883063633
Rxn1993,FADtm,0.187910207182563,0.327156803345005
Rxn1995,FADtx,0.00386938632342665,0.0182370528982318
Rxn2008,FDPtf,3.48484027677551e-12,4.58763084047264e-13
Rxn2017,FPGFT,0.00313911210577858,0.00113238904306875
Rxn2033,FRDPth,2.0847984006065e-05,4.81931078295408e-05
Rxn2035,FRDPtm,1.27759215415399e-11,7.21700844933656e-13
Rxn2050,G1P_pi_th,0.0336644043371712,0.126801234343367
Rxn2077,G3P_pi_thr,1.04439266333326,0.332217059126899
Rxn2081,G6PA_pi_th,2.2503757741346,5.20394120172225
Rxn2084,G6PB_pi_th,2.24734434920657,5.20524109387006
Rxn2086,G6PDA,0.00106686356199358,0.0166461906409066
Rxn2117,GALth,0.0118203036063015,0.000649672001847304
Rxn2135,GCAROtu,9.19108309381865e-05,6.21465901256033e-12
Rxn2158,GGDPtu,0.000119004245458653,9.72095831865936e-05
Rxn2179,GLNt,3.59604945917157e-05,0.000371229951461332
Rxn2181,GLNth,0.0181976043936395,0.0538165648987418
Rxn2194,GLUNA1tm,926.243668617519,97.9342113813427
Rxn2206,GLUtm,914.890752283689,107.494702636146
Rxn2208,GLXtx,0.0257131995569478,0.0759807706340342
Rxn2210,GLYALDOR,0.000414594580663286,0.000156087281753481
Rxn2212,GLYATx,2.63004334952812e-12,2.89692013493765e-13
Rxn2217,GLYCLTt,7.32720163452838e-06,0.000318566006621821
Rxn2219,GLYCLTth,0.000166659063593294,0.00130904650105673
Rxn2221,GLYCLTtm,0.000124602074555856,0.0010842906968988
Rxn2223,GLYCLTtx,0.0257281484114561,0.0759845864209579
Rxn2225,GLYCOR_nadp,1.26037994296417,7.90871208300305
