RxnIndex,RxnID,meanFlux,stdFlux
Rxn1,10FTHFtx,1.95997752525121e-08,2.5828087132481e-09
Rxn3,1ACPCth,0.0132274245005649,0.00282743123672763
Rxn5,1ACPCtm,0.0133814234520504,0.00286021517908202
Rxn20,23DHMBth,0.0107320164608854,0.0095648782995206
Rxn22,23DHMBtm,0.00716811148909701,0.00654290787733942
Rxn24,23DHMPth,0.00300326428017048,0.00159599495809552
Rxn28,2DHPtm,6.65281912366647e-09,1.69969462950212e-09
Rxn30,2DHPtn,1.70649508510104e-12,1.06617598159498e-12
Rxn38,2PGLYCth,4.63403841442044e-05,0.00114281499563792
Rxn40,2PGLYCtx,4.63403843625262e-05,0.00114281499563811
Rxn42,2PGth,1.76008749932225e-13,1.25653655199163e-13
Rxn44,2PGtm,13.017141324343,0.321672399877555
Rxn48,34HPPt2m,0.0740237109718752,0.45122498209642
Rxn50,3C3HMPth,0.00217813937010816,0.00327571061630663
Rxn74,3MOBth,0.0125422620633877,0.0100477952230496
Rxn76,3MOPtm,0.000174467034697557,0.00147813170923118
Rxn190,3PG_pi_thr,0.16066206728479,0.0996343428060796
Rxn192,3PGtx,3.47871822950005e-13,2.60523408373519e-13
Rxn197,44MZYMOR,4.80429808834092e-09,9.54856127011764e-09
Rxn199,4ABUTth,197.127754254544,133.249420316159
Rxn202,4ABUTtm,215.618469971538,138.266643601297
Rxn205,4HPROtg,3.71684537894162e-13,2.4204268656151e-13
Rxn207,4MOPtm,6.16302959925184e-09,1.42378198832277e-09
Rxn211,4MZYMR,4.80373453744177e-09,9.5488193009247e-09
Rxn213,5FLURAt,1.30138109950942e-12,4.99290876670632e-13
Rxn215,5FTHFt,2.71507199121926e-12,2.97323241788267e-13
Rxn217,5FTHFtm,5.68067079732673e-12,6.3932580792494e-13
Rxn219,5MTAth,7.30006065328579e-13,5.03937348098816e-13
Rxn221,5MTAtm,5.56400930990294e-09,1.03218681056208e-09
Rxn223,6MPURt,1.4416147414484e-09,3.68325599962572e-10
Rxn225,6PGLthr,0.050809678566146,0.0686115275974456
Rxn265,ABAT,0.398019470874393,0.443000995103107
Rxn275,ACACT1,2.25751608614465e-05,0.000792332980086892
Rxn297,ACACtm,0.000486496536351619,0.0133352661040181
Rxn299,ACACtx,0.000454091581999289,0.0132644605705216
Rxn303,ACALDtx,6.82614956342571,1.64871038679576
Rxn305,ACAROtu,1.08349593248996e-06,1.3400316765292e-12
Rxn308,ACCAHh,0.0132274245001777,0.0028274312367257
Rxn310,ACCAHm,0.0133814234516194,0.00286021517905566
Rxn334,ACCOAth,6.0116259546617,0.906865961377107
Rxn336,ACCOAtm,9.52257375139047,2.00404532736793
Rxn338,ACCOAts,7.02717757079941e-09,3.44197353606783e-09
Rxn340,ACCOAtx,0.00246525030223066,0.0192768265284723
Rxn623,ACONT,2.88059172047841,1.05383358515665
Rxn627,ACONTx,3.49861779361794e-13,2.74872653969363e-13
Rxn647,ACPS1,9.39304473514949e-13,1.08863071758247e-13
Rxn649,ACPS1h,1.26028732523649e-12,2.04599138597634e-13
Rxn651,ACPS1m,3.46443434561435e-12,2.40020242625076e-13
Rxn683,ACt,4.40960914984006,1.08773652760766
Rxn685,ACth,5.57405789216375,0.920222427191634
Rxn687,ACtm,1.73737455491386,0.99054324655624
Rxn689,ACts,7.00908752250079e-09,3.4437087605002e-09
Rxn701,ADEt,2.01179897942992e-05,0.000313850270503201
Rxn706,ADNtm,1.5766223705437e-05,3.64942613153953e-09
Rxn719,ADtr,3.5344333398999e-09,2.56916620431261e-09
Rxn765,AHCYStg,2.0911652051485e-12,9.22496709499734e-13
Rxn767,AHCYStn,7.98899536968007e-12,4.95303194498544e-13
Rxn773,AIRth,1.25390168371989e-12,5.9720256674651e-13
Rxn775,AKGCITtm,722.223569513658,221.072408054349
Rxn782,AKGICITtm,724.065193852271,209.444332418078
Rxn784,AKGMALth,321.887851799674,150.054184600666
Rxn786,AKG_na_th,321.853473842215,149.978898779103
Rxn788,AKG_na_tm,852.274678880128,129.28243524845
Rxn794,ALABth,1.87365546687488e-12,4.86265204878369e-13
Rxn796,ALABtm,1.18295390851367e-08,4.80961262356786e-09
Rxn798,ALANA1tm,929.7572513853,88.9727203472574
Rxn800,ALANA1tx,13.6523306020529,3.29741254305581
Rxn805,ALAtm,929.761154655808,88.9729927480637
Rxn807,ALAtx,13.6523306020713,3.2974125430561
Rxn809,ALCD19,11.3938526241001,27.2928019846554
Rxn811,ALCD19y,11.3945520516474,27.292846146005
Rxn820,ALLTNt,4.7613736157782e-05,0.00080780567062149
Rxn822,ALLTNtm,4.76137376667293e-05,0.000807805670600885
Rxn824,ALLTTt,6.85142507852934e-09,4.04237880244116e-09
Rxn826,ALLTTtm,6.85142855141149e-09,4.04234324365085e-09
Rxn832,AMAOTr,1.44234038984349e-07,8.96907921512867e-13
Rxn834,AMETAMth,2.83048588060588e-12,1.15801689315586e-12
Rxn836,AMETAMtm,5.56416138339058e-09,1.03218504634213e-09
Rxn838,AMETt2h,0.00159956620142736,2.6331517469527e-08
Rxn840,AMETt2m,0.00453545752254454,0.000242188054848262
Rxn842,AMETtg,1.97393511754395e-12,3.27755683671028e-13
Rxn844,AMETth,9.20897944302814e-06,9.73015201522208e-05
Rxn846,AMETtn,6.08204746117081e-12,3.56995725514947e-13
Rxn853,AMPth,2.71078489398074e-10,1.19827488661654e-11
Rxn855,AMPtn,1.28099681025267e-11,6.50487269451616e-13
Rxn860,ANNAT,0.00028118786452334,0.0085987224116766
Rxn861,ANNATn,2.65028500501639e-12,3.57702701035802e-13
Rxn863,ANNA,0.000497012601282466,0.00198379961523269
Rxn866,ANNAn,2.87770076195399e-12,3.55218934431237e-13
Rxn869,ANXANASCOR,0.000953984025800655,0.023803453202371
Rxn895,APPAT,9.79450419069775e-11,1.0390529934596e-11
