UniProtID	GO_ID	GO_Name	GO_Aspect
A0A2K3DHV5	GO:0004345	glucose-6-phosphate dehydrogenase activity	molecular_function
A0A2K3DHV5	GO:0004345	glucose-6-phosphate dehydrogenase activity	molecular_function
A0A2K3DHV5	GO:0016491	oxidoreductase activity	molecular_function
A0A2K3DH05	GO:1903425	fluoride transmembrane transporter activity	molecular_function
A0A2K3DH05	GO:1903425	fluoride transmembrane transporter activity	molecular_function
A0A2K3DHN4	GO:0003924	GTPase activity	molecular_function
A0A2K3DHN4	GO:0003924	GTPase activity	molecular_function
A0A2K3DHN4	GO:0003924	GTPase activity	molecular_function
A0A2K3DHN4	GO:0003924	GTPase activity	molecular_function
A0A2K3DIB4	GO:0016491	oxidoreductase activity	molecular_function
A2PZC5	GO:0015297	antiporter activity	molecular_function
A0A2K3DH73	GO:0015297	antiporter activity	molecular_function
A0A2K3DH73	GO:0042910	xenobiotic transmembrane transporter activity	molecular_function
A0A2K3DHR4	GO:0008146	sulfotransferase activity	molecular_function
A0A2K3DHR4	GO:0016740	transferase activity	molecular_function
A0A2K3DIA3	GO:0003924	GTPase activity	molecular_function
A0A2K3DI78	GO:0061631	ubiquitin conjugating enzyme activity	molecular_function
A0A2K3DGX4	GO:0010436	carotenoid dioxygenase activity	molecular_function
A0A2K3DGX4	GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	molecular_function
A0A2K3DGX4	GO:0010436	carotenoid dioxygenase activity	molecular_function
A0A2K3DGX4	GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	molecular_function
A0A2K3DH53	GO:0004656	procollagen-proline 4-dioxygenase activity	molecular_function
A0A2K3DH53	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	molecular_function
A0A2K3DH53	GO:0051213	dioxygenase activity	molecular_function
A0A2K3DI02	GO:0004672	protein kinase activity	molecular_function
A0A2K3DI02	GO:0004672	protein kinase activity	molecular_function
A8JGG7	GO:0015204	urea transmembrane transporter activity	molecular_function
A8JGG7	GO:0015204	urea transmembrane transporter activity	molecular_function
A0A2K3DGP7	GO:0015297	antiporter activity	molecular_function
A0A2K3DIE2	GO:0004672	protein kinase activity	molecular_function
A0A2K3DIE2	GO:0004674	protein serine/threonine kinase activity	molecular_function
A0A2K3DIE2	GO:0008353	RNA polymerase II CTD heptapeptide repeat kinase activity	molecular_function
A0A2K3DIE2	GO:0004672	protein kinase activity	molecular_function
A0A2K3DIE2	GO:0004674	protein serine/threonine kinase activity	molecular_function
A0A2K3DIE2	GO:0008353	RNA polymerase II CTD heptapeptide repeat kinase activity	molecular_function
A0A2K3DGH3	GO:0015204	urea transmembrane transporter activity	molecular_function
A0A2K3DGH3	GO:0015204	urea transmembrane transporter activity	molecular_function
A0A2K3DHJ2	GO:0003844	1,4-alpha-glucan branching enzyme activity	molecular_function
A0A2K3DHJ2	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function
A0A2K3DHJ2	GO:0016740	transferase activity	molecular_function
A8J3Y6	GO:0004642	phosphoribosylformylglycinamidine synthase activity	molecular_function
A8J3Y6	GO:0004642	phosphoribosylformylglycinamidine synthase activity	molecular_function
A8J3Y6	GO:0016874	ligase activity	molecular_function
A0A2K3DGQ9	GO:0046921	alpha-(1->6)-fucosyltransferase activity	molecular_function
A0A2K3DGR2	GO:0016874	ligase activity	molecular_function
A0A2K3DGR2	GO:0050567	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	molecular_function
A0A2K3DHZ3	GO:0004656	procollagen-proline 4-dioxygenase activity	molecular_function
A0A2K3DHZ3	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	molecular_function
A0A2K3DHZ3	GO:0051213	dioxygenase activity	molecular_function
A0A2K3DIC7	GO:0016301	kinase activity	molecular_function
A0A2K3DIC7	GO:0046316	gluconokinase activity	molecular_function
A0A2K3DIC7	GO:0046316	gluconokinase activity	molecular_function
A0A2K3DGD8	GO:0008168	methyltransferase activity	molecular_function
A0A2K3DGD8	GO:0008716	D-alanine-D-alanine ligase activity	molecular_function
A0A2K3DGD8	GO:0008716	D-alanine-D-alanine ligase activity	molecular_function
A0A2K3DGD8	GO:0016874	ligase activity	molecular_function
A0A2K3DHT0	GO:0003824	catalytic activity	molecular_function
A0A2K3DGI4	GO:0005227	calcium-activated cation channel activity	molecular_function
A0A2K3DGI4	GO:0005227	calcium-activated cation channel activity	molecular_function
A0A2K3DHU7	GO:0008168	methyltransferase activity	molecular_function
A0A2K3DHU7	GO:0008276	protein methyltransferase activity	molecular_function
A0A2K3DHV1	GO:0008168	methyltransferase activity	molecular_function
A0A2K3DH51	GO:0008168	methyltransferase activity	molecular_function
A0A2K3DH51	GO:0016279	protein-lysine N-methyltransferase activity	molecular_function
A8J463	GO:0003856	3-dehydroquinate synthase activity	molecular_function
A8J463	GO:0003856	3-dehydroquinate synthase activity	molecular_function
A8J463	GO:0016829	lyase activity	molecular_function
A8J463	GO:0050437	(-)-endo-fenchol synthase activity	molecular_function
A0A2K3DG81	GO:0003724	RNA helicase activity	molecular_function
A0A2K3DG81	GO:0004386	helicase activity	molecular_function
A0A2K3DG81	GO:0016787	hydrolase activity	molecular_function
A0A2K3DGE4	GO:0008168	methyltransferase activity	molecular_function
A0A2K3DGE4	GO:0008168	methyltransferase activity	molecular_function
A0A2K3DGE4	GO:0016423	tRNA (guanine) methyltransferase activity	molecular_function
A0A2K3DGE4	GO:0160102	tRNA (guanine(10)-N2)-methyltransferase activity	molecular_function
A0A2K3DHY6	GO:0004866	endopeptidase inhibitor activity	molecular_function
A0A2K3DHY6	GO:0008237	metallopeptidase activity	molecular_function
A0A2K3DH08	GO:0004791	thioredoxin-disulfide reductase (NADPH) activity	molecular_function
A0A2K3DH08	GO:0004791	thioredoxin-disulfide reductase (NADPH) activity	molecular_function
A0A2K3DH08	GO:0016491	oxidoreductase activity	molecular_function
A0A2K3DI83	GO:0015245	fatty acid transmembrane transporter activity	molecular_function
A8J3X9	GO:0004596	protein-N-terminal amino-acid acetyltransferase activity	molecular_function
A8J3X9	GO:0016746	acyltransferase activity	molecular_function
A8J3X9	GO:1990189	protein N-terminal-serine acetyltransferase activity	molecular_function
A8J3X9	GO:1990190	protein-N-terminal-glutamate acetyltransferase activity	molecular_function
A0A2K3DHR0	GO:0003824	catalytic activity	molecular_function
A0A2K3DHR0	GO:0004484	mRNA guanylyltransferase activity	molecular_function
A0A2K3DHR0	GO:0004484	mRNA guanylyltransferase activity	molecular_function
A0A2K3DHR0	GO:0016779	nucleotidyltransferase activity	molecular_function
A0A2K3DH84	GO:0004842	ubiquitin-protein transferase activity	molecular_function
A8IYZ9	GO:0016787	hydrolase activity	molecular_function
A0A2K3DH89	GO:0008168	methyltransferase activity	molecular_function
A0A2K3DH89	GO:0046975	histone H3K36 methyltransferase activity	molecular_function
A0A2K3DH89	GO:0008168	methyltransferase activity	molecular_function
A0A2K3DH89	GO:0046975	histone H3K36 methyltransferase activity	molecular_function
A0A2K3DGR4	GO:0003700	DNA-binding transcription factor activity	molecular_function
A0A2K3DHC4	GO:0004620	phospholipase activity	molecular_function
A8IZ88	GO:0004176	ATP-dependent peptidase activity	molecular_function
A8IZ88	GO:0004222	metalloendopeptidase activity	molecular_function
A0A2K3DI90	GO:0004620	phospholipase activity	molecular_function
A0A2K3DI69	GO:0061630	ubiquitin protein ligase activity	molecular_function
A0A2K3DI69	GO:0061630	ubiquitin protein ligase activity	molecular_function
A0A2K3DHQ2	GO:0090560	2-(3-amino-3-carboxypropyl)histidine synthase activity	molecular_function
A0A2K3DHQ6	GO:0090560	2-(3-amino-3-carboxypropyl)histidine synthase activity	molecular_function
A8J484	GO:0034038	deoxyhypusine synthase activity	molecular_function
A0A2K3DID5	GO:0004556	alpha-amylase activity	molecular_function
A0A2K3DID5	GO:0004556	alpha-amylase activity	molecular_function
A0A2K3DID5	GO:0016798	hydrolase activity, acting on glycosyl bonds	molecular_function
A0A2K3DID5	GO:0004556	alpha-amylase activity	molecular_function
A0A2K3DID5	GO:0004556	alpha-amylase activity	molecular_function
A0A2K3DID5	GO:0016798	hydrolase activity, acting on glycosyl bonds	molecular_function
A0A2K3DH52	GO:0004672	protein kinase activity	molecular_function
A0A2K3DH52	GO:0004674	protein serine/threonine kinase activity	molecular_function
A0A2K3DH52	GO:0004674	protein serine/threonine kinase activity	molecular_function
A0A2K3DHP9	GO:0003743	translation initiation factor activity	molecular_function
A0A2K3DHP9	GO:0003743	translation initiation factor activity	molecular_function
A8IYY6	GO:0004081	bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity	molecular_function
A8IYY6	GO:0016787	hydrolase activity	molecular_function
A0A2K3DHS8	GO:0004386	helicase activity	molecular_function
A0A2K3DHS8	GO:0016787	hydrolase activity	molecular_function
A0A2K3DHS8	GO:0016887	ATP hydrolysis activity	molecular_function
A0A2K3DHS8	GO:0140658	ATP-dependent chromatin remodeler activity	molecular_function
A0A2K3DHK5	GO:0004620	phospholipase activity	molecular_function
A0A2K3DH31	GO:0002161	aminoacyl-tRNA editing activity	molecular_function
A0A2K3DH31	GO:0004812	aminoacyl-tRNA ligase activity	molecular_function
A0A2K3DH31	GO:0004813	alanine-tRNA ligase activity	molecular_function
A0A2K3DH31	GO:0004813	alanine-tRNA ligase activity	molecular_function
A0A2K3DH17	GO:0004812	aminoacyl-tRNA ligase activity	molecular_function
A0A2K3DH17	GO:0004813	alanine-tRNA ligase activity	molecular_function
A0A2K3DGV8	GO:0010436	carotenoid dioxygenase activity	molecular_function
A0A2K3DGV8	GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	molecular_function
