RxnID,Pathway,fasta_id,smiles,pred_log10[kcat(s^-1)],pred_log10[Km(mM)],pred_log10[kcat/Km(s^-1mM^-1)]
DAMPH,Purine metabolism,A0A2K3CZW1_wild,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)([O-])[O-])O,0.193989694,-0.800849736,0.906097531
DAMPH,Purine metabolism,A0A2K3CZW1_wild,O,1.396656275,-0.013265978,0.858496845
DAMPH,Purine metabolism,A0A2K3DBK2_wild,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)([O-])[O-])O,0.171706542,-0.560403228,0.811255455
DAMPH,Purine metabolism,A0A2K3DBK2_wild,O,1.497414351,0.309650004,0.77198571
DMPH,Purine metabolism,A0A2K3CZW1_wild,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=C(NC3=O)N)COP(=O)([O-])[O-])O,0.070540011,-0.900544524,0.794355571
DMPH,Purine metabolism,A0A2K3CZW1_wild,O,1.396656275,-0.013265978,0.858496845
DMPH,Purine metabolism,A0A2K3DBK2_wild,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=C(NC3=O)N)COP(=O)([O-])[O-])O,0.036568392,-0.670460403,0.688550532
DMPH,Purine metabolism,A0A2K3DBK2_wild,O,1.497414351,0.309650004,0.77198571
FPGFT,Purine metabolism,A0A2K3D664_wild,C1C(=NC2=C(N1)N=C(NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,0.228115678,-1.651969194,1.491112471
FPGFT,Purine metabolism,A0A2K3D664_wild,C([C@@H]1[C@H]([C@H](C(O1)NC(=O)CN)O)O)OP(=O)(O)O,0.825153351,-0.916097939,1.202318907
UGAH,Purine metabolism,A0A2K3DQ72_wild,[H+]  ,2.49592185,0.90645808,1.302210689
UGAH,Purine metabolism,A0A2K3DQ72_wild,O,2.747489691,0.611929536,1.5909971
UGAH,Purine metabolism,A0A2K3DQ72_wild,C(C(=O)[O-])(N)NC(=O)N,1.872468233,0.655685842,1.068142772
URDGLYCAH,Purine metabolism,A0A2K3DNP5_wild,[H+]  ,1.584400177,0.3094078,1.175995827
URDGLYCAH,Purine metabolism,A0A2K3DNP5_wild,O,1.956519365,0.005643129,1.660984397
URDGLYCAH,Purine metabolism,A0A2K3DNP5_wild,[C@H](C(=O)[O-])(NC(=O)N)O,0.8666116,0.213704422,0.913612962
ADATT,Purine metabolism,A0A2K3CSQ6_wild,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])[O-])O)O)N,0.514140069,-0.827575862,1.182446241
ADATT,Purine metabolism,A0A2K3CSQ6_wild,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O)N,0.397707462,-0.817161083,1.100340366
ADATT,Purine metabolism,A0A2K3CSQ6_wild,[H+]  ,0.826742768,0.189114839,0.418848127
ADEDA,Purine metabolism,A0A2K3DS52_wild,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)CO)O,0.381464332,-0.571312547,1.040507674
ADEDA,Purine metabolism,A0A2K3DS52_wild,[H+]  ,1.031206846,0.355087847,0.551917195
ADEDA,Purine metabolism,A0A2K3DS52_wild,O,1.443541288,0.225446746,1.040957212
ADEDA,Purine metabolism,A0A2K3DWE2_wild,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)CO)O,0.621395469,-1.036257744,1.426791906
ADEDA,Purine metabolism,A0A2K3DWE2_wild,[H+]  ,1.127375364,-0.112883471,0.663801789
ADEDA,Purine metabolism,A0A2K3DWE2_wild,O,1.70564425,-0.346609563,1.185343981
ADNDA,Purine metabolism,A0A2K3DS52_wild,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,0.691207349,-0.722819805,1.163727045
ADNDA,Purine metabolism,A0A2K3DS52_wild,[H+]  ,1.031206846,0.355087847,0.551917195
ADNDA,Purine metabolism,A0A2K3DS52_wild,O,1.443541288,0.225446746,1.040957212
ADNDA,Purine metabolism,A0A2K3DWE2_wild,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,0.985104859,-1.171666503,1.571341634
ADNDA,Purine metabolism,A0A2K3DWE2_wild,[H+]  ,1.127375364,-0.112883471,0.663801789
ADNDA,Purine metabolism,A0A2K3DWE2_wild,O,1.70564425,-0.346609563,1.185343981
ADPA,Purine metabolism,A0A2K3DJV4_wild,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])[O-])O)O)N,0.69089824,-1.219262838,1.267119527
ADPA,Purine metabolism,A0A2K3DJV4_wild,O,1.741823912,-0.547164083,1.286037683
ADPA,Purine metabolism,A0A2K3DNI0_wild,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])[O-])O)O)N,1.661339998,-0.822837532,1.874368429
ADPA,Purine metabolism,A0A2K3DNI0_wild,O,2.662275791,-0.054737568,2.056675434
ADPA,Purine metabolism,A0A2K3DNJ4_wild,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])[O-])O)O)N,1.713804483,-0.854581058,1.930777311
ADPA,Purine metabolism,A0A2K3DNJ4_wild,O,2.656994581,-0.078556545,2.075592279
ADPA,Purine metabolism,A0A2K3DXY3_wild,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])[O-])O)O)N,1.240612864,-0.982890308,1.498657346
ADPA,Purine metabolism,A0A2K3DXY3_wild,O,2.252905369,-0.273537695,1.430499077
ADRH,Purine metabolism,A0A2K3DUF4_wild,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,0.551911056,-0.876390457,1.111923456
ADRH,Purine metabolism,A0A2K3DUF4_wild,O,1.430035591,-0.089527808,0.957186341
AMP5N,Purine metabolism,A0A2K3CZW1_wild,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])[O-])O)O)N,0.34393698,-0.861981273,0.920359254
AMP5N,Purine metabolism,A0A2K3CZW1_wild,O,1.396656275,-0.013265978,0.858496845
AMP5N,Purine metabolism,A0A2K3DBK2_wild,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])[O-])O)O)N,0.368194669,-0.65366596,0.823190689
AMP5N,Purine metabolism,A0A2K3DBK2_wild,O,1.497414351,0.309650004,0.77198571
APATT,Purine metabolism,A0A2K3CSQ6_wild,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OS(=O)(=O)O)O)O)N,0.438399971,-1.097352266,1.372584343
APATT,Purine metabolism,A0A2K3CSQ6_wild,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O)N,0.397707462,-0.817161083,1.100340366
ATAH_co2,Purine metabolism,A0A2K3D0D6_wild,C(C(=O)[O-])(NC(=O)N)NC(=O)N,1.3061831,-0.054203164,1.264168024
ATAH_co2,Purine metabolism,A0A2K3D0D6_wild,[H+]  ,1.380616903,0.506123722,0.806282222
ATAH_co2,Purine metabolism,A0A2K3D0D6_wild,O,2.210067034,0.263861477,1.392387152
ATPPH,Purine metabolism,A0A2K3CUZ9_wild,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O)N,0.006434816,-1.452712536,1.028913736
ATPPH,Purine metabolism,A0A2K3CUZ9_wild,O,1.121863723,-0.554039836,0.954265893
ATPPH,Purine metabolism,A0A2K3DJV4_wild,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O)N,0.582123756,-1.297396064,1.205642223
ATPPH,Purine metabolism,A0A2K3DJV4_wild,O,1.741823912,-0.547164083,1.286037683
ATPPH,Purine metabolism,A0A2K3DNI0_wild,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O)N,1.571523428,-0.824152291,1.79772222
ATPPH,Purine metabolism,A0A2K3DNI0_wild,O,2.662275791,-0.054737568,2.056675434
ATPPH,Purine metabolism,A0A2K3DNJ4_wild,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O)N,1.624101281,-0.857213199,1.850805283
ATPPH,Purine metabolism,A0A2K3DNJ4_wild,O,2.656994581,-0.078556545,2.075592279
ATPPH,Purine metabolism,A0A2K3E7C0_wild,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O)N,-1.160214901,-1.711806536,0.252631664
ATPPH,Purine metabolism,A0A2K3E7C0_wild,O,-0.099488273,-0.611148775,0.260875702
ATPPHm,Purine metabolism,A0A2K3DJV4_wild,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O)N,0.582123756,-1.297396064,1.205642223
ATPPHm,Purine metabolism,A0A2K3DJV4_wild,O,1.741823912,-0.547164083,1.286037683
ATPPHm,Purine metabolism,A0A2K3DNI0_wild,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O)N,1.571523428,-0.824152291,1.79772222
ATPPHm,Purine metabolism,A0A2K3DNI0_wild,O,2.662275791,-0.054737568,2.056675434
ATPPHm,Purine metabolism,A0A2K3DNJ4_wild,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O)N,1.624101281,-0.857213199,1.850805283
ATPPHm,Purine metabolism,A0A2K3DNJ4_wild,O,2.656994581,-0.078556545,2.075592279
ATPPHm,Purine metabolism,A0A2K3E7C0_wild,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O)N,-1.160214901,-1.711806536,0.252631664
ATPPHm,Purine metabolism,A0A2K3E7C0_wild,O,-0.099488273,-0.611148775,0.260875702
BTP,Purine metabolism,A0A2K3D7T0_wild,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)N,0.911845207,-0.867192864,1.403773069
BTP,Purine metabolism,A0A2K3D7T0_wild,O,1.71489203,-0.023045683,1.40314734
BTP,Purine metabolism,A8HVN9_wild,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)N,0.870797813,-1.287806034,1.928477526
BTP,Purine metabolism,A8HVN9_wild,O,1.730769753,-0.333492845,1.69240737
BTPS,Purine metabolism,A0A2K3E6Q6_wild,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)N,0.202158168,-1.418050289,1.795529127
BTPS,Purine metabolism,A0A2K3E6Q6_wild,O,1.460462332,-0.284862936,1.600105882
GCPN,Purine metabolism,A0A2K3CXS8_wild,C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)OP(=O)(O1)[O-],0.724329352,-1.82130909,1.75876832
GCPN,Purine metabolism,A0A2K3CXS8_wild,O,2.05376482,-0.637119949,1.837742805
GCPN,Purine metabolism,A0A2K3CXT4_wild,C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)OP(=O)(O1)[O-],0.327995777,-1.68795836,1.341750145
GCPN,Purine metabolism,A0A2K3CXT4_wild,O,1.700885534,-0.521610916,1.44107759
GCPN,Purine metabolism,A0A2K3D3C8_wild,C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)OP(=O)(O1)[O-],0.554973245,-1.97171998,1.601534128
GCPN,Purine metabolism,A0A2K3D3C8_wild,O,1.923104286,-0.566179574,1.644894004
