UniProtID	GO_ID	GO_Name	GO_Aspect
A0A2K3DGR9	GO:0016020	membrane	cellular_component
A0A2K3DHV5	GO:0004345	glucose-6-phosphate dehydrogenase activity	molecular_function
A0A2K3DHV5	GO:0004345	glucose-6-phosphate dehydrogenase activity	molecular_function
A0A2K3DHV5	GO:0016491	oxidoreductase activity	molecular_function
A0A2K3DHV5	GO:0050661	NADP binding	molecular_function
A0A2K3DHV5	GO:0006006	glucose metabolic process	biological_process
A0A2K3DHV5	GO:0006006	glucose metabolic process	biological_process
A0A2K3DHV5	GO:0006098	pentose-phosphate shunt	biological_process
A0A2K3DHV5	GO:0009051	pentose-phosphate shunt, oxidative branch	biological_process
A0A2K3DHV5	GO:0009051	pentose-phosphate shunt, oxidative branch	biological_process
A0A2K3DGI3	GO:0005737	cytoplasm	cellular_component
A0A2K3DHM5	GO:0000338	protein deneddylation	biological_process
A0A2K3DHM5	GO:0010387	COP9 signalosome assembly	biological_process
A0A2K3DHM5	GO:0005634	nucleus	cellular_component
A0A2K3DHM5	GO:0005737	cytoplasm	cellular_component
A0A2K3DHM5	GO:0008180	COP9 signalosome	cellular_component
A0A2K3DHM5	GO:0032991	protein-containing complex	cellular_component
A0A2K3DH05	GO:1903425	fluoride transmembrane transporter activity	molecular_function
A0A2K3DH05	GO:1903425	fluoride transmembrane transporter activity	molecular_function
A0A2K3DH05	GO:1903424	fluoride transmembrane transport	biological_process
A0A2K3DH05	GO:0005886	plasma membrane	cellular_component
A0A2K3DH05	GO:0005886	plasma membrane	cellular_component
A0A2K3DH05	GO:0016020	membrane	cellular_component
A0A2K3DHN4	GO:0003924	GTPase activity	molecular_function
A0A2K3DHN4	GO:0003924	GTPase activity	molecular_function
A0A2K3DHN4	GO:0005509	calcium ion binding	molecular_function
A0A2K3DHN4	GO:0005525	GTP binding	molecular_function
A0A2K3DHN4	GO:0005525	GTP binding	molecular_function
A0A2K3DHN4	GO:0019901	protein kinase binding	molecular_function
A0A2K3DHN4	GO:0046872	metal ion binding	molecular_function
A0A2K3DHN4	GO:0007015	actin filament organization	biological_process
A0A2K3DHN4	GO:0007163	establishment or maintenance of cell polarity	biological_process
A0A2K3DHN4	GO:0007165	signal transduction	biological_process
A0A2K3DHN4	GO:0008360	regulation of cell shape	biological_process
A0A2K3DHN4	GO:0030865	cortical cytoskeleton organization	biological_process
